iter	RMSE
0	13.54112152
1	13.17979819
2	12.83870799
3	12.49899224
4	12.17505111
5	11.83744679
6	11.52859714
7	11.25325145
8	10.95350931
9	10.65830831
10	10.38786653
11	10.0941093
12	9.85748923
13	9.597551536
14	9.397830483
15	9.188707593
16	8.940549996
17	8.725110089
18	8.51275096
19	8.286015719
20	8.06481716
21	7.885200784
22	7.696063084
23	7.51397848
24	7.328380321
25	7.150514679
26	6.97985989
27	6.82009155
28	6.657111645
29	6.496754806
30	6.355293041
31	6.191557137
32	6.052588187
33	5.908481537
34	5.773679582
35	5.642455145
36	5.522538757
37	5.391834524
38	5.272974005
39	5.13675657
40	5.026498809
41	4.926529068
42	4.814812915
43	4.713756058
44	4.614840191
45	4.517345209
46	4.420116328
47	4.32883753
48	4.239260245
49	4.148416974
50	4.06152712
51	3.968204969
52	3.887249285
53	3.819647234
54	3.735076697
55	3.662995665
56	3.598405736
57	3.520453106
58	3.450805013
59	3.382884346
60	3.323305503
61	3.265131852
62	3.20478452
63	3.15394096
64	3.105440995
65	3.042311605
66	2.985843276
67	2.931629575
68	2.880969342
69	2.832658617
70	2.783411178
71	2.733182534
72	2.68642387
73	2.647076753
74	2.601126494
75	2.560821563
76	2.528415198
77	2.486206378
78	2.448409938
79	2.412104635
80	2.373481121
81	2.34168103
82	2.306337335
83	2.272536034
84	2.236780981
85	2.204706603
86	2.172351938
87	2.148822408
88	2.120307062
89	2.094182818
90	2.065441351
91	2.035271793
92	2.00563459
93	1.976927318
94	1.950641683
95	1.92882232
96	1.906786817
97	1.881107188
98	1.864360978
99	1.841014331
100	1.823410645
101	1.804320382
102	1.783678495
103	1.767591895
104	1.748837891
105	1.728774098
106	1.713828865
107	1.701000568
108	1.684900505
109	1.671542111
110	1.655036033
111	1.642938578
112	1.631785042
113	1.617845183
114	1.604154644
115	1.590675362
116	1.579037145
117	1.565203034
118	1.551902124
119	1.539882209
120	1.528153841
121	1.516408416
122	1.506549426
123	1.496846986
124	1.4867869
125	1.472728977
126	1.46309754
127	1.451926557
128	1.441913365
129	1.431812688
130	1.423948986
131	1.415506367
132	1.405906155
133	1.397357321
134	1.38921171
135	1.381275618
136	1.37398473
137	1.365796069
138	1.358359696
139	1.351655711
140	1.344925746
141	1.337230861
142	1.326929635
143	1.31977606
144	1.313424104
145	1.306747458
146	1.301946698
147	1.293202383
148	1.28597842
149	1.276720183
150	1.270017513
151	1.261931474
152	1.256209836
153	1.249546685
154	1.243852448
155	1.23882634
156	1.23204908
157	1.226542589
158	1.220458933
159	1.214817043
160	1.209553103
161	1.202187604
162	1.196937576
163	1.191694414
164	1.187802021
165	1.182590505
166	1.176659563
167	1.17095409
168	1.167129294
