iter	Passed	Remaining
0	1	1174
1	2	1108
2	3	1093
3	4	1076
4	5	1057
5	6	1048
6	7	1052
7	8	1043
8	9	1023
9	10	1018
10	11	1019
11	12	1013
12	13	1003
13	14	1012
14	15	1014
15	16	1009
16	17	1003
17	18	1000
18	19	995
19	20	992
20	21	991
21	22	988
22	23	982
23	24	978
24	24	973
25	25	968
26	26	967
27	27	964
28	28	961
29	29	958
30	30	956
31	31	956
32	32	955
33	33	952
34	34	955
35	35	958
36	36	952
37	37	946
38	38	938
39	38	931
40	39	923
41	40	917
42	40	911
43	41	907
44	42	901
45	43	894
46	43	887
47	44	882
48	45	877
49	45	872
50	46	867
51	47	863
52	48	859
53	48	857
54	49	852
55	50	848
56	51	844
57	51	840
58	52	837
59	53	834
60	53	830
61	54	827
62	55	823
63	56	819
64	56	816
65	57	814
66	58	811
67	59	808
68	59	806
69	60	803
70	61	801
71	62	799
72	62	796
73	63	793
74	64	790
75	64	788
76	65	785
77	66	782
78	66	780
79	67	778
80	68	776
81	69	775
82	70	773
83	70	771
84	71	769
85	72	766
86	72	765
87	73	763
88	74	760
89	74	757
90	75	755
91	76	753
92	77	751
93	77	749
94	78	747
95	79	746
96	80	744
97	80	743
98	81	741
99	82	739
100	82	737
101	83	736
102	84	734
103	85	733
104	85	731
105	86	729
106	87	727
107	87	725
108	88	723
109	89	721
110	89	719
111	90	717
112	91	715
113	91	714
114	92	712
115	93	710
116	93	707
117	94	705
118	94	702
119	95	699
120	96	697
121	96	695
122	97	692
123	97	690
124	98	688
125	98	685
126	99	683
127	99	680
128	100	678
129	101	676
130	101	674
131	102	671
132	102	669
133	103	667
134	103	665
135	104	662
136	104	659
137	105	656
138	105	654
139	106	652
140	106	650
141	107	648
142	107	646
143	108	644
144	108	642
145	109	640
146	110	638
147	110	636
148	111	634
149	111	632
150	112	630
151	112	628
152	113	626
153	113	624
154	114	622
155	114	621
156	115	619
157	115	617
158	116	615
159	116	613
160	117	611
161	117	609
162	118	608
163	118	606
164	119	604
165	119	602
166	120	600
167	120	598
168	121	597
169	121	595
170	122	593
171	122	592
172	123	590
173	124	588
174	124	587
175	125	585
176	125	583
177	126	582
178	126	580
179	127	578
180	127	577
181	128	575
182	128	574
183	129	572
184	129	570
185	130	569
186	130	567
187	131	566
188	131	564
189	132	562
190	132	561
191	133	559
192	133	558
193	134	556
194	134	555
195	135	554
196	135	552
197	136	551
198	136	549
199	137	548
200	137	546
201	138	545
202	138	544
203	139	542
204	139	541
205	140	539
206	140	538
207	141	536
208	141	535
209	142	534
210	142	532
211	143	531
212	143	530
213	144	528
214	144	527
215	145	526
216	145	525
217	145	523
218	146	522
219	147	521
220	147	519
221	148	518
222	148	517
223	149	516
224	149	515
225	150	513
226	150	512
227	151	511
228	151	510
229	152	508
230	152	507
231	152	506
232	153	505
233	153	504
234	154	502
235	154	501
236	155	500
237	155	499
238	156	498
239	156	497
240	157	495
241	157	494
242	158	493
243	158	492
244	159	491
245	159	490
246	160	489
247	160	487
248	161	486
249	161	485
250	162	484
251	162	483
252	163	482
253	163	481
254	164	480
255	164	479
256	165	478
257	165	477
258	166	476
259	166	475
260	167	474
261	167	472
262	168	471
263	168	470
264	169	469
265	169	468
266	170	467
267	170	466
268	171	465
269	171	464
270	172	463
271	172	462
272	173	461
273	173	460
274	174	459
275	174	458
276	175	457
277	175	456
278	176	455
279	176	454
280	177	453
281	177	452
282	178	451
283	178	450
284	179	449
285	179	448
286	180	447
287	180	446
288	181	445
289	181	444
290	182	444
291	182	443
292	183	442
293	183	441
294	184	440
295	184	439
296	185	438
297	185	437
298	186	436
299	186	435
300	187	434
301	187	433
302	188	432
303	188	431
304	189	431
305	189	430
306	190	429
307	190	428
308	191	427
309	191	426
310	192	425
311	192	424
312	193	423
313	193	423
314	194	422
315	194	421
316	195	420
317	195	419
318	196	418
319	196	417
320	197	416
321	197	416
322	198	415
323	198	414
324	199	413
325	199	412
326	200	411
327	200	410
328	201	410
329	201	409
330	201	408
331	202	407
332	203	406
333	203	405
334	204	405
335	204	404
336	205	403
337	205	402
338	206	401
339	206	400
340	207	400
341	207	399
342	208	398
343	208	397
344	209	396
345	209	396
346	210	395
347	210	394
348	210	393
349	211	392
350	212	391
351	212	391
352	212	390
353	213	389
354	213	388
355	214	387
356	214	387
357	215	386
358	215	385
359	216	384
360	217	384
361	217	383
362	218	383
363	218	382
364	219	381
365	219	381
366	220	380
367	220	379
368	221	378
369	221	377
370	222	377
371	222	376
372	223	375
373	223	374
374	224	374
375	224	373
376	225	372
377	225	371
378	226	370
379	226	370
380	227	369
381	227	368
382	228	367
383	228	367
384	229	366
385	229	365
386	230	364
387	230	364
388	231	363
389	231	362
390	232	361
391	232	361
392	233	360
393	233	359
394	234	358
395	234	358
396	235	357
397	235	356
398	236	356
399	236	355
400	237	354
401	237	353
402	238	353
403	238	352
404	239	351
405	239	350
406	240	350
407	240	349
408	241	348
409	241	348
410	242	347
411	242	346
412	243	345
413	243	345
414	244	344
415	244	343
416	245	343
417	245	342
418	246	341
419	246	341
420	247	340
421	247	339
422	248	338
423	248	338
424	249	337
425	249	336
426	250	336
427	250	335
428	251	334
429	251	333
430	252	333
431	252	332
432	253	331
433	253	331
434	254	330
435	254	329
436	255	328
437	255	328
438	256	327
439	256	326
440	257	326
441	257	325
442	258	324
443	258	324
444	259	323
445	259	322
446	260	321
447	260	321
448	261	320
449	261	319
450	262	319
451	262	318
452	263	317
453	263	317
454	264	316
455	264	315
456	264	314
457	265	314
458	265	313
459	266	312
460	266	312
461	267	311
462	267	310
463	268	310
464	268	309
465	269	308
466	269	308
467	270	307
468	270	306
469	271	306
470	271	305
471	272	304
472	272	304
473	273	303
474	273	302
475	274	302
476	274	301
477	275	300
478	275	300
479	276	299
480	276	298
481	277	298
482	277	297
483	278	296
484	278	296
485	279	295
486	279	294
487	280	294
488	281	293
489	281	292
490	282	292
491	282	291
492	283	291
493	283	290
494	284	290
495	284	289
496	285	288
497	285	288
498	286	287
499	286	286
500	287	286
501	287	285
502	288	284
503	288	284
504	289	283
505	289	282
506	290	282
507	290	281
508	291	280
509	291	280
510	292	279
511	292	279
512	293	278
513	293	277
514	294	277
515	294	276
516	295	275
517	295	275
518	296	274
519	296	273
520	297	273
521	297	272
522	298	272
523	298	271
524	299	270
525	299	270
526	300	269
527	300	268
528	301	268
529	301	267
530	302	266
531	302	266
532	303	265
533	303	265
534	304	264
535	304	263
536	305	263
537	305	262
538	306	261
539	306	261
540	307	260
541	307	260
542	308	259
543	308	258
544	309	258
545	309	257
546	310	256
547	310	256
548	311	255
549	311	255
550	312	254
551	312	253
552	313	253
553	313	252
554	314	251
555	314	251
556	315	250
557	315	250
558	316	249
559	316	248
560	317	248
561	317	247
562	318	246
563	318	246
564	319	245
565	319	245
566	320	244
567	320	243
568	321	243
569	321	242
570	322	241
571	322	241
572	322	240
573	323	240
574	323	239
575	324	238
576	324	238
577	325	237
578	325	236
579	326	236
580	326	235
581	326	234
582	327	234
583	327	233
584	328	232
585	328	232
586	329	231
587	329	230
588	330	230
589	330	229
590	330	229
591	331	228
592	331	227
593	332	227
594	332	226
595	333	225
596	333	225
597	334	224
598	334	223
599	334	223
600	335	222
601	335	222
602	336	221
603	336	220
604	337	220
605	337	219
606	338	218
607	338	218
608	339	217
609	339	217
610	339	216
611	340	215
612	340	215
613	341	214
614	341	213
615	342	213
616	342	212
617	343	212
618	343	211
619	344	210
620	344	210
621	344	209
622	345	208
623	345	208
624	346	207
625	346	207
626	347	206
627	347	205
628	348	205
629	348	204
630	348	204
631	349	203
632	349	202
633	350	202
634	350	201
635	351	201
636	351	200
637	352	199
638	352	199
639	353	198
640	353	198
641	354	197
642	354	196
643	355	196
644	355	195
645	356	195
646	356	194
647	357	194
648	357	193
649	358	192
650	358	192
651	359	191
652	359	191
653	360	190
654	360	189
655	361	189
656	361	188
657	362	188
658	362	187
659	363	187
660	363	186
661	364	185
662	364	185
663	365	184
664	365	184
665	366	183
666	366	183
667	367	182
668	367	181
669	368	181
670	368	180
671	369	180
672	369	179
673	370	178
674	370	178
675	371	177
676	371	177
677	372	176
678	372	176
679	373	175
680	373	174
681	374	174
682	374	173
683	375	173
684	375	172
685	375	172
686	376	171
687	376	170
688	377	170
689	378	169
690	378	169
691	379	168
692	379	168
693	379	167
694	380	166
695	380	166
696	381	165
697	381	165
698	382	164
699	382	164
700	383	163
701	383	162
702	384	162
703	384	161
704	385	161
705	385	160
706	386	160
707	386	159
708	387	158
709	387	158
710	388	157
711	388	157
712	389	156
713	389	156
714	390	155
715	390	155
716	391	154
717	391	153
718	392	153
719	392	152
720	393	152
721	393	151
722	394	151
723	394	150
724	395	149
725	395	149
726	396	148
727	396	148
728	397	147
729	397	147
730	398	146
731	398	146
732	399	145
733	400	144
734	400	144
735	401	143
736	401	143
737	402	142
738	402	142
739	403	141
740	403	141
741	404	140
742	404	139
743	404	139
744	405	138
745	405	138
746	406	137
747	406	137
748	407	136
749	407	135
750	408	135
751	409	134
752	409	134
753	409	133
754	410	133
755	410	132
756	411	132
757	411	131
758	412	130
759	412	130
760	413	129
761	413	129
762	414	128
763	414	128
764	415	127
765	415	127
766	416	126
767	416	125
768	417	125
769	417	124
770	418	124
771	418	123
772	419	123
773	419	122
774	420	121
775	420	121
776	421	120
777	421	120
778	422	119
779	422	119
780	423	118
781	423	118
782	423	117
783	424	116
784	424	116
785	425	115
786	425	115
787	426	114
788	426	114
789	427	113
790	427	113
791	428	112
792	428	111
793	429	111
794	429	110
795	430	110
796	430	109
797	431	109
798	431	108
799	432	108
800	432	107
801	433	106
802	433	106
803	434	105
804	434	105
805	435	104
806	435	104
807	436	103
808	436	103
809	437	102
810	437	101
811	438	101
812	438	100
813	439	100
814	439	99
815	439	99
816	440	98
817	441	98
818	441	97
819	442	97
820	442	96
821	443	95
822	443	95
823	444	94
824	444	94
825	444	93
826	445	93
827	445	92
828	446	92
829	446	91
830	447	90
831	447	90
832	448	89
833	448	89
834	449	88
835	449	88
836	450	87
837	450	87
838	451	86
839	451	86
840	452	85
841	452	84
842	453	84
843	453	83
844	454	83
845	454	82
846	455	82
847	455	81
848	456	81
849	456	80
850	457	80
851	457	79
852	458	78
853	458	78
854	459	77
855	459	77
856	460	76
857	460	76
858	461	75
859	461	75
860	462	74
861	462	74
862	463	73
863	463	72
864	464	72
865	464	71
866	465	71
867	465	70
868	466	70
869	466	69
870	467	69
871	467	68
872	468	68
873	468	67
874	469	67
875	469	66
876	470	65
877	470	65
878	471	64
879	471	64
880	472	63
881	472	63
882	473	62
883	473	62
884	474	61
885	474	61
886	475	60
887	475	59
888	476	59
889	476	58
890	477	58
891	477	57
892	478	57
893	478	56
894	479	56
895	479	55
896	479	55
897	480	54
898	480	54
899	481	53
900	481	52
901	482	52
902	482	51
903	482	51
904	483	50
905	483	50
906	484	49
907	484	49
908	485	48
909	485	48
910	486	47
911	486	46
912	487	46
913	487	45
914	488	45
915	488	44
916	489	44
917	489	43
918	490	43
919	490	42
920	491	42
921	491	41
922	492	41
923	492	40
924	493	39
925	493	39
926	494	38
927	494	38
928	495	37
929	495	37
930	496	36
931	496	36
932	497	35
933	497	35
934	498	34
935	498	34
936	499	33
937	499	33
938	500	32
939	500	31
940	501	31
941	501	30
942	502	30
943	502	29
944	503	29
945	503	28
946	503	28
947	504	27
948	504	27
949	505	26
950	505	26
951	506	25
952	506	24
953	506	24
954	507	23
955	507	23
956	508	22
957	508	22
958	508	21
959	509	21
960	509	20
961	510	20
962	510	19
963	511	19
964	511	18
965	512	18
966	512	17
967	513	16
968	513	16
969	514	15
970	514	15
971	515	14
972	515	14
973	516	13
974	516	13
975	517	12
976	517	12
977	518	11
978	518	11
979	519	10
980	519	10
981	520	9
982	520	9
983	521	8
984	521	7
985	522	7
986	522	6
987	523	6
988	523	5
989	524	5
990	524	4
991	525	4
992	525	3
993	526	3
994	526	2
995	527	2
996	527	1
997	528	1
998	528	0
999	529	0
